092年05月05日 至 110年03月17日 除權除息計算結果表,,,,,,,,,,,,,,
資料日期,股票代號,股票名稱,除權息前收盤價,除權息參考價,權值+息值,權/息,漲停價格,跌停價格,開盤競價基準,減除股利參考價,詳細資料,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘
96年08月16日,2357,華碩,90.8,83.64,7.162363,權息,89.4,77.8,83.6,83.64,除權息資料,109年第3季,247.4,22.5
96年08月16日,2391,合勤,53.6,50.48,3.12,權息,54,46.95,50.5,50.48,除權息資料,,,
96年08月16日,2393,億光,133,122.06,10.9489,權息,130.5,114,122,122.06,除權息資料,109年第3季,38.56,2.06
96年08月16日,2421,建準,24.3,22.49,1.819456,權息,24.05,20.95,22.5,22.49,除權息資料,109年第4季,18.31,3.39
96年08月16日,2482,連宇,67,62.61,4.39,權,66.9,58.3,62.6,62.61,除權息資料,109年第4季,11.75,-0.5
96年08月16日,5854,合庫,23.8,22.45,1.35,權,24,20.9,22.45,22.45,除權息資料,109年第3季,22.72,1.02
96年08月16日,6115,鎰勝,59.9,51.61,8.2938,權息,55.2,48,51.6,51.61,除權息資料,109年第3季,23.97,1.77
96年08月16日,6128,上福,33.6,30.28,3.32,權息,32.35,28.2,30.3,30.28,除權息資料,109年第3季,24.59,0.57
96年08月16日,6168,宏齊,46,41.73,4.27,權息,44.65,38.85,41.75,41.73,除權息資料,109年第3季,13.54,0.45
96年08月17日,2414,精技,17.3,16.11,1.193248,權息,17.2,15,16.1,16.11,除權息資料,109年第3季,16.66,1.74
96年08月17日,2489,瑞軒,47,42.82,4.184674,權息,45.8,39.85,42.8,42.82,除權息資料,109年第4季,15.25,0.68
96年08月17日,2833,台壽保,50.8,46.18,4.62,權,49.4,42.95,46.2,46.18,除權息資料,109年第3季,25.51,2.85
96年08月17日,2888,新光金,31.75,29.9,1.859923,權息,31.95,27.85,29.9,29.9,除權息資料,109年第4季,18.12,1.12
96年08月17日,3036,文曄,40.55,36.69,3.8641,權息,39.25,34.15,36.7,36.69,除權息資料,109年第4季,49.92,5.22
96年08月20日,2101,南港,60.5,40.82,19.681,權息,43.65,38,40.8,40.82,除權息資料,109年第4季,13.45,0
96年08月20日,2311,日月光,34.5,28.58,5.929322,權息,30.55,26.6,28.6,28.58,除權息資料,109年第4季,18.89,2.81
96年08月20日,6005,群益證,17.65,16.6,1.05,權息,17.75,15.45,16.6,16.6,除權息資料,109年第3季,15.93,1.01
96年08月21日,1519,華城,43.85,42.56,1.29,息,45.5,39.6,42.55,42.56,除權息資料,109年第3季,12.95,1.16
96年08月21日,2204,中華,28.65,27.38,1.27,權息,29.25,25.5,27.4,27.38,除權息資料,109年第3季,74.17,4.52
96年08月21日,2350,環電,21.3,19.77,1.53802,權息,21.15,18.4,19.75,19.77,除權息資料,,,
96年08月21日,2397,友通,97.4,89.01,8.39,權息,95.2,82.8,89,89.01,除權息資料,109年第3季,25.48,2.86
96年08月21日,2402,毅嘉,24.8,21.93,2.87987,權息,23.45,20.4,21.95,21.93,除權息資料,109年第3季,18.7,0.22
96年08月21日,2467,志聖,24.3,21.6,2.70421,權息,23.1,20.1,21.6,21.6,除權息資料,109年第4季,16.82,2.94
96年08月21日,2468,華經,17.35,16.02,1.33,權息,17.1,14.9,16,16.02,除權息資料,109年第3季,16.33,0.58
96年08月21日,2499,東貝,37.55,35.98,1.577908,權息,38.45,33.5,36,35.98,除權息資料,108年第4季,-5.27,-16
96年08月21日,2610,華航,13.2,12.69,0.519376,權息,13.55,11.85,12.7,12.69,除權息資料,109年第3季,10.19,-0.37
96年08月21日,6139,亞翔,51.2,45.3,5.9,權息,48.5,42.15,45.35,45.33,除權息資料,109年第3季,33.39,1.21
96年08月21日,6206,飛捷,149.5,123.78,25.72,權息,132,115.5,124,123.78,除權息資料,109年第3季,29.51,3.37
96年08月21日,6605,帝寶,115.5,110.01,5.482683,息,117.5,102.5,110,110.01,除權息資料,109年第3季,78.43,2.23
96年08月22日,1231,聯華食,13.2,12.7,0.5,息,13.55,11.85,12.7,12.7,除權息資料,109年第3季,20.67,2.38
96年08月22日,1474,弘裕,10.9,10.4,0.5,息,11.1,9.68,10.4,10.4,除權息資料,109年第3季,14.81,0.39
96年08月22日,1527,鑽全,48.5,45.5,3,息,48.65,42.35,45.5,45.5,除權息資料,109年第3季,28.98,2.17
96年08月22日,1616,億泰,11.25,10.62,0.639822,權息,11.35,9.88,10.6,10.62,除權息資料,109年第3季,8.05,0.03
96年08月22日,2020,美亞,34,31.29,2.700637,息,33.45,29.1,31.3,31.29,除權息資料,109年第3季,13.37,1.32
96年08月22日,2379,瑞昱,153.5,138.87,14.63,權息,148.5,129.5,139,138.87,除權息資料,109年第3季,53.8,12.1
96年08月22日,2524,京城,25,22.67,2.33,權,24.25,21.1,22.65,22.67,除權息資料,109年第3季,38.29,3.28
96年08月23日,1319,東陽,36.4,34.85,1.55,權息,37.25,32.45,34.85,34.85,除權息資料,109年第3季,36.24,1.07
96年08月23日,1402,遠東新,35.2,32.91,2.29,權息,35.2,30.65,32.9,32.91,除權息資料,109年第3季,37.53,1.34
96年08月23日,1436,華友聯,11.8,10.72,1.08,權,11.45,9.97,10.7,10.72,除權息資料,109年第3季,28.5,2.43
96年08月23日,1460,宏遠,7.9,7.75,0.15,息,8.29,7.21,7.75,7.75,除權息資料,109年第3季,8.95,-0.75
96年08月23日,1523,開億,17.5,17.02,0.48,權息,18.2,15.85,17,17.02,除權息資料,,,
96年08月23日,1524,耿鼎,15.6,14.85,0.75,權息,15.85,13.85,14.85,14.85,除權息資料,109年第4季,13.33,0.21
96年08月23日,1533,車王電,48.7,47.5,1.199209,息,50.8,44.2,47.5,47.5,除權息資料,109年第3季,24.63,0.25
96年08月23日,2010,春源,14.5,13.48,1.02,權,14.4,12.55,13.5,13.48,除權息資料,109年第3季,15.68,0.42
96年08月23日,2374,佳能,55,50.41,4.598286,權息,53.9,46.9,50.4,50.41,除權息資料,109年第3季,20.17,-1.42
96年08月23日,2376,技嘉,31.9,31.3,0.6,息,33.45,29.15,31.3,31.3,除權息資料,109年第3季,40.22,5.15
96年08月23日,2441,超豐,52,44.42,7.58,權息,47.5,41.35,44.4,44.42,除權息資料,109年第4季,31.64,4.68
96年08月23日,2466,冠西電,40,39.65,0.35,息,42.4,36.9,39.65,39.65,除權息資料,109年第3季,10.5,0.14
96年08月23日,2483,百容,21.7,20.5,1.1941,息,21.9,19.1,20.5,20.5,除權息資料,109年第4季,21.68,0.76
96年08月23日,2495,普安,55.2,47.04,8.166317,權息,50.3,43.75,47.05,47.04,除權息資料,109年第3季,14.49,-0.27
96年08月23日,2536,宏普,33.7,31.23,2.47,權息,33.4,29.05,31.25,31.23,除權息資料,109年第3季,36.2,1.54
96年08月23日,2547,日勝生,38.1,36.77,1.33,權息,39.3,34.05,36.55,36.56,除權息資料,109年第3季,12.61,0.3
96年08月23日,3006,晶豪科,77.1,71.91,5.19,權息,76.9,66.9,71.9,71.91,除權息資料,109年第4季,30.43,3.85
96年08月23日,9933,中鼎,24.9,22.96,1.94,權息,24.55,21.4,22.95,22.96,除權息資料,109年第4季,20.77,1.01
96年08月23日,9943,好樂迪,22,21.5,0.5,息,23,20,21.5,21.5,除權息資料,109年第3季,26.46,3.2
96年08月24日,6289,華上,46.25,44.12,2.13867,權息,47.2,41.05,44.1,44.12,除權息資料,109年第3季,0.11,-0.71
96年08月27日,1210,大成,48.6,45.35,3.254001,權息,48.5,42.2,45.35,45.35,除權息資料,109年第3季,24.02,2.94
96年08月27日,2317,鴻海,282.5,229.76,52.74,權息,245.5,214,230,229.76,除權息資料,109年第3季,87.36,4.03
96年08月27日,2328,廣宇,105.5,100.73,4.778153,權息,107.5,93.7,100.5,100.73,除權息資料,109年第3季,20.98,0.9
96年08月27日,2428,興勤,47,41.93,5.07968,權息,44.85,39,41.95,41.93,除權息資料,109年第3季,52.79,7.47
96年08月27日,3481,群創,143,136.9,6.1092,權息,146,127.5,137,136.9,除權息資料,109年第4季,24.44,0
96年08月28日,2534,宏盛,26.35,23.05,3.3,息,24.65,21.45,23.05,23.05,除權息資料,108年第1季,19.46,0.35
96年08月28日,2850,新產,20.65,18.6,2.05,權,19.9,17.3,18.6,18.6,除權息資料,109年第3季,38.88,3.9
96年08月28日,6141,柏承,49.3,42.88,6.424689,權息,45.85,39.9,42.9,42.88,除權息資料,109年第3季,16.49,1.37
96年08月28日,9105,泰金寶-DR,10.45,10.25,0.2,息,10.95,9.54,10.25,10.25,除權息資料,93年第4季,0,4.81
96年08月29日,2403,友尚,30,27.64,2.361717,權息,29.55,25.75,27.65,27.64,除權息資料,,,
96年08月29日,2438,翔耀,11.25,10.63,0.62,權息,11.35,9.89,10.65,10.63,除權息資料,109年第3季,6.11,-0.02
96年08月29日,3030,德律,73.9,60.54,13.36,權息,64.7,56.4,60.5,60.54,除權息資料,109年第4季,24.14,4.63
96年08月29日,6216,居易,38.6,35.72,2.88561,權息,38.2,33.25,35.7,35.72,除權息資料,109年第3季,17.05,0.92
96年08月30日,1730,花仙子,15.4,14.6,0.8,息,15.6,13.6,14.6,14.6,除權息資料,109年第4季,27.5,5.51
96年08月30日,2401,凌陽,63.8,55.84,7.966204,權息,59.7,52,55.8,55.84,除權息資料,109年第3季,13.87,0.23
96年08月30日,2543,皇昌,13.75,12.53,1.22,權,13.4,11.7,12.55,12.53,除權息資料,109年第3季,8.4,0.08
96年08月30日,2856,元富證,15.8,15.22,0.58,權息,16.25,14.2,15.2,15.22,除權息資料,109年第4季,16.13,1.19
96年08月30日,3003,健和興,34.35,31.22,3.134353,權息,33.4,29.05,31.2,31.22,除權息資料,109年第3季,30.11,1.81
96年08月30日,4119,旭富,53.7,52.5,1.2,息,56.1,48.85,52.5,52.5,除權息資料,109年第3季,45.68,8.04
96年08月30日,8072,陞泰,318,283.71,34.29,權息,303.5,264,283.5,283.71,除權息資料,109年第3季,27.34,-0.11
96年09月03日,1609,大亞,12.05,11.51,0.54773,權息,12.3,10.75,11.5,11.51,除權息資料,109年第3季,12.73,1.07
96年09月03日,5522,遠雄,69,66,3,息,70.6,61.4,66,66,除權息資料,109年第3季,50.73,2.7
96年09月04日,1455,集盛,9.69,9.4,0.29,權息,10.05,8.75,9.4,9.4,除權息資料,109年第3季,11.63,-0.56
96年09月04日,2023,燁輝,15.05,14.61,0.44,權,15.6,13.6,14.6,14.61,除權息資料,109年第3季,13.6,0.16
96年09月04日,2301,光寶科,51.4,47.09,4.31575,權息,50.3,43.8,47.1,47.09,除權息資料,109年第4季,31.67,4.31
96年09月04日,4532,瑞智,14.25,13.53,0.72,權息,14.45,12.6,13.55,13.53,除權息資料,109年第3季,15.97,1.13
96年09月05日,1310,台苯,16,14.99,1.01,權息,16,13.95,15,14.99,除權息資料,109年第3季,11.85,-0.29
96年09月05日,2484,希華,27.6,25.88,1.72097,權息,27.65,24.1,25.9,25.88,除權息資料,109年第4季,19.65,1.02
96年09月05日,2704,國賓,27.25,26.45,0.8,息,28.3,24.6,26.45,26.45,除權息資料,109年第3季,29.55,0.13
96年09月06日,1419,新紡,23.9,23.46,0.44,權息,25.1,21.85,23.45,23.46,除權息資料,109年第3季,27.91,0.93
96年09月06日,1808,潤隆,36.7,28.96,7.74,權息,30.95,26.95,28.95,28.96,除權息資料,109年第3季,15.83,0.05
96年09月06日,2032,新鋼,28.95,27.81,1.14,權,30.95,25.9,28.95,28.95,除權息資料,109年第3季,12.94,0.46
96年09月06日,4906,正文,82.4,74.82,7.58658,權息,80,69.6,74.8,74.82,除權息資料,109年第3季,25.78,3.54
96年09月06日,9944,新麗,40.7,38.09,2.619915,權息,40.75,35.45,38.1,38.09,除權息資料,109年第3季,26.09,0.81
96年09月07日,1235,興泰,22.45,20.4,2.05,權,21.8,19,20.4,20.4,除權息資料,109年第3季,26.08,0.83
96年09月07日,2509,全坤建,53,49.73,3.2764,權息,53.2,46.25,49.75,49.73,除權息資料,109年第4季,20.22,0
96年09月07日,2612,中航,124,110.9,13.1,權息,118.5,103.5,111,110.9,除權息資料,109年第3季,49.62,1.71
96年09月07日,3059,華晶科,71.6,57.88,13.720679,權息,61.9,53.9,57.9,57.88,除權息資料,109年第3季,31.19,0.46
96年09月07日,5203,訊連,178,165.56,12.442388,權息,177,154,165.5,165.56,除權息資料,109年第4季,47.39,2.26
96年09月07日,6119,大傳,15.7,14.42,1.286499,權息,15.4,13.45,14.4,14.42,除權息資料,,,
96年09月07日,6145,勁永,24,22.22,1.781193,權息,23.75,20.7,22.2,22.22,除權息資料,107年第2季,7.24,-0.08
96年09月07日,6155,鈞寶,54.3,52.43,1.87,權,56.1,48.8,52.4,52.43,除權息資料,109年第4季,16.3,0.39
96年09月10日,2411,飛瑞,32.8,31.2,1.595236,息,33.35,29.05,31.2,31.2,除權息資料,,,
96年09月10日,2451,創見,127.5,122.72,4.783023,權息,131,114,122.5,122.34,除權息資料,109年第4季,43.52,2.79
96年09月10日,2474,可成,276,208.81,67.19,權息,223,194.5,209,208.81,除權息資料,109年第4季,207.42,27.65
96年09月10日,2504,國產,19,18.15,0.85,權息,19.4,16.9,18.15,18.15,除權息資料,109年第3季,16.5,1.31
96年09月11日,1531,高林股,40.4,38.7,1.7,息,41.4,36,38.7,38.7,除權息資料,109年第3季,19.12,-0.27
96年09月11日,1537,廣隆,30.2,29.2,1,息,31.2,27.2,29.2,29.2,除權息資料,109年第3季,46.54,7.91
96年09月11日,1704,榮化,43,40,3,權息,42.8,37.2,40,40,除權息資料,107年第3季,36.73,2.83
96年09月11日,2511,太子,21.5,19.48,2.02,權息,20.8,18.15,19.5,19.48,除權息資料,109年第3季,14.5,0.21
96年09月11日,2701,萬企,18.65,16.75,1.9,權息,17.9,15.6,16.75,16.75,除權息資料,109年第3季,16.31,0.26
96年09月11日,2706,第一店,39.2,31.41,7.79,權息,33.6,29.25,31.4,31.41,除權息資料,109年第3季,17.58,0.16
96年09月12日,2515,中工,10.4,9.9,0.5,權,10.55,9.21,9.9,9.9,除權息資料,109年第3季,12.89,0.26
96年09月12日,2854,寶來證,17.15,15.99,1.16,權,17.1,14.9,16,15.99,除權息資料,,,
96年09月12日,9939,宏全,30.5,28.86,1.64,權息,30.85,26.85,28.85,28.86,除權息資料,109年第3季,43.75,5.06
96年09月13日,2108,南帝,40.5,37.8,2.7,權息,40.4,35.2,37.8,37.8,除權息資料,109年第3季,17.94,3.24
96年09月13日,2337,旺宏,21.1,20.53,0.575768,權息,21.95,19.1,20.55,20.53,除權息資料,109年第4季,19.52,2.9
96年09月13日,3041,揚智,148,138,10.003277,權息,147.5,128.5,138,138,除權息資料,109年第4季,16.34,-1.26
96年09月14日,2471,資通,14.4,13.8,0.6,息,14.75,12.85,13.8,13.8,除權息資料,109年第3季,15.62,1.36
96年09月14日,6165,捷泰,24,23.48,0.52,權,25.1,21.85,23.5,23.48,除權息資料,109年第3季,9.38,0.37
96年09月17日,1325,恆大,13.55,13.25,0.3,息,14.15,12.35,13.25,13.25,除權息資料,109年第3季,37.74,16.7
96年09月17日,1517,利奇,19.3,18.7,0.6,息,20,17.4,18.7,18.7,除權息資料,109年第3季,13.89,0.16
96年09月17日,2336,致伸,17,16.66,0.34,權息,17.8,15.5,16.65,16.66,除權息資料,,,
96年09月17日,9104,萬宇科,38.1,36.75,1.35,息,39.3,34.2,36.75,36.75,除權息資料,93年第4季,0,2.73
96年09月19日,1806,冠軍,17,15.62,1.38,權息,16.7,14.55,15.6,15.62,除權息資料,109年第3季,12.56,-1.19
96年09月20日,2883,開發金,13.2,12.81,0.39,權,13.7,11.95,12.8,12.81,除權息資料,109年第3季,12.69,0.6
96年09月20日,5534,長虹,66.5,63.8,2.7,權,71.1,59.4,66.5,66.5,除權息資料,109年第3季,58.87,5.05
96年09月20日,6131,鈞泰,49.5,42.15,7.359378,權息,45.1,39.2,42.15,42.15,除權息資料,109年第3季,2.34,-1.9
96年09月20日,6255,奈普,29.55,27.93,1.62,權息,29.85,26,27.95,27.93,除權息資料,,,
96年09月20日,9940,信義,119.5,91.08,28.42106,權息,97.4,84.8,91.1,91.08,除權息資料,109年第4季,15.65,2.11
96年09月21日,2472,立隆電,19,18.93,0.0698,息,20.25,17.65,18.95,18.93,除權息資料,109年第3季,31.33,4.2
96年09月21日,2606,裕民,96,91,5,息,97.3,84.7,91,91,除權息資料,109年第4季,27.42,1.04
96年09月21日,3025,星通,20.25,19.33,0.916637,息,20.65,18,19.35,19.33,除權息資料,109年第3季,11.61,0.77
96年09月26日,1324,地球,31.6,31.48,0.12,息,33.65,29.3,31.5,31.48,除權息資料,109年第3季,12.78,0.16
96年09月28日,2609,陽明,26.45,25.92,0.539534,權息,27.7,24.15,25.9,25.92,除權息資料,109年第3季,7.4,0.71
96年09月28日,3043,科風,47.7,43.72,3.98,權息,46.75,40.7,43.7,43.72,除權息資料,109年第3季,0.68,-0.06
96年10月02日,01004T,土銀富邦R2,10.68,10.49,0.18814,息,11.22,9.76,10.49,10.49,除權息資料,0110年03月16日,15.42,N/A
96年10月02日,1806,冠軍,19.2,18.71,0.49,權,20.5,17.45,19.2,19.2,除權息資料,109年第3季,12.56,-1.19
96年10月02日,2027,大成鋼,53,50.39,2.61,權,56.7,46.9,53,53,除權息資料,109年第3季,17.86,-0.83
96年10月02日,2908,特力,22.4,21.56,0.839936,息,23.05,20.1,21.55,21.56,除權息資料,109年第3季,13.13,1.28
96年10月02日,6120,達運,35.15,32.36,2.797572,權息,34.6,30.1,32.35,32.36,除權息資料,109年第4季,14.92,-1.86
96年10月03日,5525,順天,39.9,34.9,5,權息,37.3,32.5,34.9,34.9,除權息資料,109年第3季,17.21,-0.04
96年10月08日,2462,良得電,24.8,23.19,1.61639,權息,24.8,21.6,23.2,23.19,除權息資料,109年第3季,18.06,0.84
96年10月08日,3057,喬鼎,24.4,24.31,0.080733,息,26,22.65,24.3,24.31,除權息資料,109年第3季,9.69,-0.34
96年10月08日,6197,佳必琪,173,169.69,3.31,權,185,158,173,173,除權息資料,109年第3季,23.59,1.76
96年10月08日,8046,南電,203,197.77,5.23,權,211.5,184,198,197.77,除權息資料,109年第4季,50.08,5.67
96年10月08日,9927,泰銘,84.8,82.3,2.5,息,88,76.6,82.3,82.3,除權息資料,109年第3季,23.77,0.89
96年10月11日,2478,大毅,40,35.06,4.941811,權息,37.5,32.65,35.05,35.06,除權息資料,109年第3季,39.26,4.33
96年10月12日,2369,菱生,17.05,16.74,0.31,權,18.2,15.6,17.05,17.05,除權息資料,109年第3季,13.34,-0.3
96年10月15日,8008,建興電,29.25,28.1,1.151609,權息,30.05,26.15,28.1,28.1,除權息資料,102年第1季,26.27,0.45
96年10月17日,1311,福聚,33.15,29.95,3.2,權息,32,27.9,29.95,29.95,除權息資料,,,
96年10月24日,0050,元大台灣50,70.6,68.1,2.5,息,72.85,63.35,68.1,68.1,除權息資料,0110年03月16日,135.5,N/A
96年10月25日,3022,威強電,70.2,62.39,7.81,權息,66.7,58.1,62.4,62.39,除權息資料,109年第4季,43,5.64
96年11月09日,2448,晶電,131,129.92,1.08,權,140,121,131,131,除權息資料,109年第4季,35,-7.52
96年11月15日,4526,東台,41.05,40.69,0.36,權,43.9,37.85,41.05,41.05,除權息資料,109年第3季,20.03,-0.37
96年11月22日,2614,東森,12,11.75,0.2499,息,12.55,10.95,11.75,11.75,除權息資料,109年第3季,11,0.66
96年11月23日,0051,元大中型100,35.4,34.63,0.77,息,37.05,32.21,34.63,34.63,除權息資料,0110年03月16日,47.81,N/A
96年11月23日,0054,元大台商50,24.3,23.95,0.35,息,25.62,22.28,23.95,23.95,除權息資料,0110年03月16日,31,N/A
96年11月27日,01007T,兆豐國泰R2,10.13,9.84,0.287551,息,10.52,9.16,9.84,9.84,除權息資料,0110年03月16日,20.1,N/A
96年12月04日,2617,台航,66.3,64.5,1.8,息,69,60,64.5,64.5,除權息資料,109年第3季,24.09,0.83
96年12月05日,2908,特力,19.25,18.82,0.43,權,20.1,17.55,18.8,18.82,除權息資料,109年第3季,13.13,1.28
96年12月13日,2489,瑞軒,39.1,38.88,0.22,權,41.8,36.2,39.1,39.1,除權息資料,109年第4季,15.25,0.68
96年12月21日,6168,宏齊,30,30.11,0.11,權,32.2,27.9,30,30,除權息資料,109年第3季,13.54,0.45
97年01月02日,3315,宣昶,53.5,53.15,0.35,權,57.2,49.45,53.5,53.5,除權息資料,106年第2季,22.67,-0.33
97年02月19日,2888,新光金,22.65,22.39,0.26,權,24.2,20.85,22.65,22.65,除權息資料,109年第4季,18.12,1.12
97年02月27日,01005T,三鼎,8.17,7.82,0.346337,息,8.36,7.28,7.82,7.82,除權息資料,0101年04月19日,14.57,N/A
97年03月03日,01008T,駿馬R1,9.1,8.83,0.26963,息,9.44,8.22,8.83,8.83,除權息資料,0104年04月23日,19.91,N/A
97年03月04日,9105,泰金寶-DR,8.03,7.83,0.1974,息,8.37,7.29,7.83,7.83,除權息資料,93年第4季,0,4.81
97年03月26日,01003T,兆豐新光R1,10.63,10.23,0.394453,息,10.94,9.52,10.23,10.23,除權息資料,0110年03月16日,17.81,N/A
97年03月31日,9104,萬宇科,27.3,26.52,0.78,息,28.35,24.7,26.5,26.52,除權息資料,93年第4季,0,2.73
97年04月02日,01004T,土銀富邦R2,11.4,11.19,0.205381,息,11.97,10.41,11.19,11.19,除權息資料,0110年03月16日,15.42,N/A
97年04月16日,1217,愛之味,15.5,14.68,0.82,權,16.55,13.7,15.5,15.5,除權息資料,109年第3季,12.01,0.51
97年05月05日,3514,昱晶,340,260.36,79.64,權,278.5,242.5,260.5,260.36,除權息資料,107年第2季,19.02,-1.73
97年05月06日,01001T,土銀富邦R1,12.25,11.79,0.459385,息,12.61,10.97,11.79,11.79,除權息資料,0110年03月16日,19.02,N/A
97年05月15日,0015,富邦,9.23,8.26,0.961,息,8.83,7.69,8.26,8.26,除權息資料,null,5.01,N/A
97年05月20日,3518,柏騰,239,231.95,7.044819,息,248,216,232,231.95,除權息資料,109年第3季,17.12,-0.65
97年05月22日,01002T,土銀國泰R1,10.96,10.52,0.435605,息,11.25,9.79,10.52,10.52,除權息資料,0110年03月16日,18.97,N/A
97年05月22日,01007T,兆豐國泰R2,11,10.79,0.203943,息,11.54,10.04,10.79,10.79,除權息資料,0110年03月16日,20.1,N/A
97年05月23日,5533,皇鼎,34.15,28.94,5.21,權息,30.95,26.95,28.95,28.94,除權息資料,109年第3季,25.6,0.38
97年06月11日,1451,年興,19.9,18.4,1.5,息,19.65,17.15,18.4,18.4,除權息資料,109年第3季,36.2,-2.15
97年06月11日,9910,豐泰,24.8,22.8,2,息,24.35,21.25,22.8,22.8,除權息資料,109年第3季,19.03,4.16
97年06月12日,2430,燦坤,44.4,43.9,0.5,息,46.95,40.85,43.9,43.9,除權息資料,109年第4季,28.76,1.85
97年06月12日,2707,晶華,643,628.37,14.63,息,672,585,628,628.37,除權息資料,109年第3季,24.71,3.44
97年06月13日,1615,大山,16.6,15.69,0.91,息,16.75,14.6,15.7,15.69,除權息資料,109年第3季,15.47,1.74
97年06月16日,2440,太空梭,10.4,9.73,0.67,權息,10.4,9.03,9.7,9.7,除權息資料,109年第3季,8.57,1.13
97年06月16日,3518,柏騰,216,192.43,23.57,權,205.5,179,192.5,192.43,除權息資料,109年第3季,17.12,-0.65
97年06月17日,1323,永裕,13.3,13,0.3,息,13.9,12.1,13,13,除權息資料,109年第4季,24.5,3.2
97年06月17日,2545,皇翔,66.3,65.39,0.91,權,70.9,60.9,66.3,66.3,除權息資料,109年第3季,33.4,3.87
97年06月17日,9942,茂順,39.65,36.86,2.782323,息,39.4,34.3,36.85,36.86,除權息資料,109年第3季,34.92,3.29
97年06月18日,6505,台塑化,92.6,85.9,6.7,息,91.9,79.9,85.9,85.9,除權息資料,109年第4季,32.34,0.78
97年06月19日,2702,華園,34.85,32.87,1.98,權,35.15,30.6,32.85,32.87,除權息資料,109年第3季,10.16,-1.18
97年06月19日,9908,大台北,22,21.2,0.8,息,22.65,19.75,21.2,21.2,除權息資料,109年第3季,21.8,1.35
97年06月20日,1708,東鹼,67,65.5,1.5,息,70,61,65.5,65.5,除權息資料,109年第3季,25.27,0.44
97年06月23日,1477,聚陽,64,58.02,5.971456,息,62,54,58,58.02,除權息資料,109年第3季,43.1,7.18
97年06月25日,1326,台化,69.1,62.1,7,息,66.4,57.8,62.1,62.1,除權息資料,109年第4季,58.87,3.34
97年06月25日,1507,永大,19.8,18.8,1,息,20.1,17.5,18.8,18.8,除權息資料,109年第3季,28.18,2.39
97年06月25日,1513,中興電,23.6,22.2,1.4,息,23.75,20.65,22.2,22.2,除權息資料,109年第3季,22.18,1.69
97年06月25日,2101,南港,41,31.15,9.85,權息,33.3,29,31.15,31.15,除權息資料,109年第4季,13.45,0
97年06月25日,3519,綠能,247.5,218.53,28.971197,權息,233.5,203.5,218.5,218.53,除權息資料,108年第2季,-17.28,-11.64
97年06月26日,1716,永信,34.1,32.1,2,息,34.3,29.9,32.1,32.1,除權息資料,109年第2季,25.99,8.86
97年06月26日,2535,達欣工,23.1,21.9,1.2,息,23.4,20.4,21.9,21.9,除權息資料,109年第4季,25.38,3.74
97年06月27日,2520,冠德,17.4,16.9,0.5,息,18.05,15.75,16.9,16.9,除權息資料,109年第3季,26.53,2.43
97年06月27日,2546,根基,13.7,13.2,0.5,息,14.1,12.3,13.2,13.2,除權息資料,109年第3季,27.75,4.1
97年06月30日,1467,南緯,10.6,10,0.6,息,10.7,9.3,10,10,除權息資料,109年第3季,12.94,0.4
97年06月30日,2480,敦陽科,15.35,14.15,1.2,息,15.1,13.2,14.15,14.15,除權息資料,109年第4季,26.6,4.68
97年07月01日,1315,達新,20.7,19.5,1.2,息,20.85,18.15,19.5,19.5,除權息資料,109年第3季,90.48,29.58
97年07月01日,1452,宏益,7.5,7.05,0.45,息,7.54,6.56,7.05,7.05,除權息資料,109年第4季,18.95,0.74
97年07月01日,1521,大億,17.4,15.9,1.5,息,17,14.8,15.9,15.9,除權息資料,109年第3季,22.21,1.29
97年07月01日,2009,第一銅,12.8,11.9,0.9,息,12.7,11.1,11.9,11.9,除權息資料,109年第3季,10.13,-0.01
97年07月01日,2833,台壽保,35.85,34.35,1.5,息,36.75,31.95,34.35,34.35,除權息資料,109年第3季,25.51,2.85
97年07月01日,3045,台灣大,56.5,53.95,2.54326,息,57.7,50.2,54,53.95,除權息資料,109年第3季,22.51,3.27
97年07月01日,3356,奇偶,171,160,11,息,171,149,160,160,除權息資料,109年第3季,18.6,0.9
97年07月01日,9931,欣高,17.8,16.9,0.9,息,18.05,15.75,16.9,16.9,除權息資料,109年第3季,18.92,1.38
97年07月02日,1303,南亞,62,55.3,6.7,息,59.1,51.5,55.3,55.3,除權息資料,109年第3季,39.83,1.71
97年07月02日,2010,春源,13.7,13.4,0.3,息,14.3,12.5,13.4,13.4,除權息資料,109年第3季,15.68,0.42
97年07月02日,2832,台產,27.3,24.62,2.68,息,26.3,22.9,24.6,24.62,除權息資料,109年第3季,25.59,1.53
97年07月02日,2882,國泰金,63.9,61.4,2.5,息,65.6,57.2,61.4,61.4,除權息資料,109年第3季,55.31,4.55
97年07月03日,1233,天仁,30.3,28.9,1.4,息,30.9,26.9,28.9,28.9,除權息資料,109年第3季,15.95,0.41
97年07月03日,1307,三芳,25.15,24.15,1,息,25.8,22.5,24.15,24.15,除權息資料,109年第3季,19.78,0.31
97年07月03日,1440,南紡,11.65,11.05,0.6,息,11.8,10.3,11.05,11.05,除權息資料,109年第3季,14.67,0.15
97年07月03日,1711,永光,15.15,14.85,0.3,息,15.85,13.85,14.85,14.85,除權息資料,109年第3季,14.34,0.23
