092年05月05日 至 110年03月17日 除權除息計算結果表,,,,,,,,,,,,,,
資料日期,股票代號,股票名稱,除權息前收盤價,除權息參考價,權值+息值,權/息,漲停價格,跌停價格,開盤競價基準,減除股利參考價,詳細資料,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘
92年06月26日,1303,南亞,39,37.8,1.2,息,40.4,35.2,37.8,37.8,除權息資料,109年第3季,39.83,1.71
92年06月26日,1440,南紡,7.4,7.2,0.2,息,7.7,6.7,7.2,7.2,除權息資料,109年第3季,14.67,0.15
92年06月26日,2312,金寶,19.5,17.23,2.27,權息,18.4,16.1,17.2,17.23,除權息資料,109年第3季,10.88,0.33
92年06月26日,3048,益登,84.5,60.46,24.04,權息,64.5,56.5,60.5,60.46,除權息資料,109年第4季,16.67,0
92年06月26日,9930,中聯資源,13.55,12.55,1,息,13.4,11.7,12.55,12.55,除權息資料,109年第4季,21.62,3.07
92年06月26日,9941,裕融,29.7,27.7,2,息,29.6,25.8,27.7,27.7,除權息資料,109年第3季,42.38,6.6
92年06月27日,1109,信大,8.8,8.3,0.5,息,8.85,7.75,8.3,8.3,除權息資料,109年第3季,20.48,1.72
92年06月27日,1219,福壽,5.2,5.08,0.12,息,5.4,4.73,5.1,5.08,除權息資料,109年第3季,13.28,1.48
92年06月27日,1713,國化,8.4,8,0.4,息,8.55,7.45,8,8,除權息資料,109年第4季,15.5,0.61
92年06月27日,9910,豐泰,28.1,25.9,2.2,息,27.7,24.1,25.9,25.9,除權息資料,109年第3季,19.03,4.16
92年06月27日,9924,福興,22.8,21.44,1.35765,息,22.9,20,21.4,21.44,除權息資料,109年第4季,31,4.37
92年06月30日,1507,永大,19.3,18.5,0.8,息,19.7,17.3,18.5,18.5,除權息資料,109年第3季,28.18,2.39
92年06月30日,1904,正隆,9.25,8.95,0.3,息,9.55,8.35,8.95,8.95,除權息資料,109年第3季,21.97,2.36
92年06月30日,2548,華固,6.4,5.9,0.5,息,6.3,5.5,5.9,5.9,除權息資料,109年第4季,62.87,10.05
92年06月30日,3027,盛達,28,22.98,5.02,權息,24.5,21.4,23,22.98,除權息資料,109年第3季,14.86,0.44
92年07月01日,1301,台塑,48.2,45.47,2.73,權,48.6,42.3,45.5,45.47,除權息資料,109年第3季,45.97,1.47
92年07月01日,1472,三洋紡,19.5,18.23,1.27,權,20.8,17,19.5,19.5,除權息資料,109年第3季,3.74,-6.04
92年07月01日,1476,儒鴻,12.05,11.17,0.88,息,11.95,10.4,11.15,11.17,除權息資料,109年第4季,69.86,15.51
92年07月01日,1510,台安,8.9,8.7,0.2,息,9.3,8.1,8.7,8.7,除權息資料,,,
92年07月01日,1711,永光,10.6,10.1,0.5,息,10.8,9.4,10.1,10.1,除權息資料,109年第3季,14.34,0.23
92年07月02日,1468,昶和,12.9,12.75,0.15,息,13.6,11.9,12.75,12.75,除權息資料,109年第3季,7.81,0.26
92年07月02日,1473,台南,42.5,42.36,0.14,權,45.3,39.4,42.4,42.36,除權息資料,109年第3季,24.09,-1.12
92年07月02日,2338,光罩,19.3,18.28,1.019535,息,19.5,17.1,18.3,18.28,除權息資料,109年第3季,14.47,0.92
92年07月02日,2409,友達,25.6,23.76,1.84,權息,25.4,22.1,23.8,23.76,除權息資料,109年第4季,19.24,0.36
92年07月02日,2409S,友達乙,22.7,21.41,1.29,權,22.9,20,21.4,21.41,除權息資料,109年第4季,19.24,0.36
92年07月02日,3005,神基,21.4,18.32,3.08,權息,19.6,17.1,18.3,18.32,除權息資料,109年第4季,27.57,4.4
92年07月03日,1434,福懋,14.35,13.65,0.7,息,14.6,12.7,13.65,13.65,除權息資料,109年第4季,36.54,1.25
92年07月03日,1504,東元,10.6,10.1,0.5,息,10.8,9.4,10.1,10.1,除權息資料,109年第3季,31.82,1.41
92年07月03日,1530,亞崴,27.5,26.74,0.76,息,28.6,24.9,26.7,26.74,除權息資料,109年第3季,31.94,3.75
92年07月03日,2882,國泰金,44.2,42.7,1.5,息,45.6,39.8,42.7,42.7,除權息資料,109年第3季,55.31,4.55
92年07月03日,2891,中信金,28.4,27.4,1,息,29.3,25.5,27.4,27.4,除權息資料,109年第3季,18.62,1.8
92年07月03日,2891A,中信特,46.9,44.45,2.448,息,47.5,41.4,44.5,44.45,除權息資料,109年第3季,18.62,1.8
92年07月03日,3023,信邦,36,31.14,4.86,權息,33.3,29,31.1,31.14,除權息資料,109年第3季,34.77,7.11
92年07月03日,9911,櫻花,9.45,8.59,0.86,權,9.15,8,8.6,8.59,除權息資料,109年第3季,21.12,2.5
92年07月03日,9921,巨大,40.1,38.1,2,息,40.7,35.5,38.1,38.1,除權息資料,109年第3季,62.96,9.69
92年07月04日,1307,三芳,27,24.54,2.46,權,26.2,22.9,24.5,24.54,除權息資料,109年第3季,19.78,0.31
